"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"A1","CA-C03","50.546mm","10.668mm","50.546mm","10.668mm","50.546mm","13.418mm","T","270","Antenna",
"C1","C_0402_1005Metric","16.002mm","13.843mm","16.002mm","13.843mm","16.002mm","14.323mm","T","270","1uF",
"C2","C_0402_1005Metric","17.399mm","13.843mm","17.399mm","13.843mm","17.399mm","14.323mm","T","270","10uF",
"C4","C_0402_1005Metric","32.893mm","6.604mm","32.893mm","6.604mm","32.413mm","6.604mm","T","0","10uF",
"C5","C_0402_1005Metric","32.893mm","5.334mm","32.893mm","5.334mm","32.413mm","5.334mm","T","0","0.1uF",
"C6","C_0402_1005Metric","28.46825mm","13.62425mm","28.46825mm","13.62425mm","28.46825mm","14.10425mm","T","270","10nF",
"C7","C_0402_1005Metric","40.132mm","15.24mm","40.132mm","15.24mm","39.652mm","15.24mm","T","0","0.1uF",
"C8","C_0402_1005Metric","28.46825mm","11.59225mm","28.46825mm","11.59225mm","28.46825mm","11.11225mm","T","90","0.1uF",
"C9","C_0402_1005Metric","37.338mm","15.748mm","37.338mm","15.748mm","37.338mm","16.228mm","T","270","2.2nF",
"C10","C_0402_1005Metric","28.46825mm","15.65625mm","28.46825mm","15.65625mm","28.46825mm","16.13625mm","T","270","0.1uF",
"C11","C_0402_1005Metric","20.32mm","13.208mm","20.32mm","13.208mm","19.84mm","13.208mm","T","0","10uF",
"C12","C_0402_1005Metric","20.32mm","9.398mm","20.32mm","9.398mm","20.8mm","9.398mm","T","180","10uF",
"C13","C_0402_1005Metric","20.32mm","14.478mm","20.32mm","14.478mm","20.8mm","14.478mm","T","180","10uF",
"C14","C_0402_1005Metric","10.033mm","14.478mm","10.033mm","14.478mm","10.033mm","13.998mm","T","90","1uF",
"D1","LED_0402_1005Metric","12.319mm","16.51mm","12.319mm","16.51mm","11.834mm","16.51mm","T","0","ORANGE",
"D2","LED_0402_1005Metric","18.796mm","16.51mm","18.796mm","16.51mm","19.281mm","16.51mm","T","180","GREEN",
"K1","SKSCLCE010","15.24mm","19.812mm","15.24mm","19.812mm","17.04mm","20.462mm","T","180","SW_MEC_5E",
"K2","SKSCLCE010","8.382mm","19.812mm","8.382mm","19.812mm","10.182mm","20.462mm","T","180","SW_MEC_5E",
"R1","R_0402_1005Metric","10.033mm","6.858mm","10.033mm","6.858mm","10.033mm","6.348mm","T","90","10K",
"R3","R_0402_1005Metric","20.32mm","6.858mm","20.32mm","6.858mm","20.83mm","6.858mm","T","180","200R",
"R4","R_0402_1005Metric","30.353mm","6.604mm","30.353mm","6.604mm","30.863mm","6.604mm","T","180","12K",
"R5","R_0402_1005Metric","30.353mm","5.334mm","30.353mm","5.334mm","29.843mm","5.334mm","T","0","12K",
"R6","R_0402_1005Metric","40.132mm","16.256mm","40.132mm","16.256mm","39.622mm","16.256mm","T","0","10K",
"R7","R_0402_1005Metric","10.033mm","9.398mm","10.033mm","9.398mm","10.033mm","9.908mm","T","270","5.1K",
"R8","R_0402_1005Metric","10.033mm","11.938mm","10.033mm","11.938mm","10.033mm","12.448mm","T","270","5.1K",
"R9","R_0402_1005Metric","14.48mm","16.51mm","14.48mm","16.51mm","13.97mm","16.51mm","T","0","10K",
"R12","R_0402_1005Metric","16.764mm","16.51mm","16.764mm","16.51mm","17.274mm","16.51mm","T","180","10K",
"R13","R_0402_1005Metric","20.32mm","8.128mm","20.32mm","8.128mm","19.81mm","8.128mm","T","0","10K",
"R14","R_0402_1005Metric","38.481mm","15.748mm","38.481mm","15.748mm","38.481mm","15.238mm","T","90","1K",
"R16","R_0402_1005Metric","20.32mm","10.668mm","20.32mm","10.668mm","20.83mm","10.668mm","T","180","560K",
"R17","R_0402_1005Metric","20.32mm","11.938mm","20.32mm","11.938mm","19.81mm","11.938mm","T","0","4.7K",
"U1","QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm","14.732mm","7.874mm","14.732mm","7.874mm","16.232mm","10.324mm","T","270","CP2102N-A01-GQFN28",
"U2","SOT-23-5","13.335mm","13.462mm","13.335mm","13.462mm","12.235mm","14.412mm","T","0","ME6211C33M5G",
"U3","InvenSense_QFN-24_4x4mm_P0.5mm","32.258mm","13.843mm","32.258mm","13.843mm","33.508mm","15.793mm","T","270","MPU-6050",
"U4","ESP32_PICO_D4","41.01225mm","9.00825mm","41.01225mm","9.00825mm","43.76225mm","12.40825mm","T","270","ESP32PICO_D4",
"U5","OLED-12880","25.527mm","10.668mm","25.527mm","10.668mm","25.527mm","14.868mm","T","90","OLED-12880",
"VT1","SOT-23","33.528mm","8.89mm","33.528mm","8.89mm","32.578mm","7.89mm","T","90","S8050",
"VT2","SOT-23","29.718mm","8.89mm","29.718mm","8.89mm","28.768mm","7.89mm","T","90","S8050",
"Through Hole Items ",
"P2","12pin","34.036mm","19.558mm","34.036mm","19.558mm","48.006mm","19.558mm","T","270","Conn_01x12",
"P3","18pin","26.416mm","1.778mm","26.416mm","1.778mm","48.006mm","1.778mm","T","270","Conn_01x18",
"USB1","USB_C_Receptacle_HRO_TYPE-C-31-M-12","3.556mm","10.668mm","3.556mm","10.668mm","7.601mm","7.418mm","T","270","USB_C_16_PIN",
"REF**","MountingHole_2.2mm_M2","51.054mm","1.778mm","51.054mm","1.778mm","51.054mm","1.778mm","T","0","MountingHole_2.2mm_M2",
"REF**","MountingHole_2.2mm_M2","51.054mm","19.558mm","51.054mm","19.558mm","51.054mm","19.558mm","T","0","MountingHole_2.2mm_M2",
"REF**","MountingHole_2.2mm_M2","1.778mm","1.778mm","1.778mm","1.778mm","1.778mm","1.778mm","T","0","MountingHole_2.2mm_M2",
"REF**","MountingHole_2.2mm_M2","1.778mm","19.558mm","1.778mm","19.558mm","1.778mm","19.558mm","T","0","MountingHole_2.2mm_M2",
